Date,Mean/Average,Most Bearish Response,Quart 1 (25% at/below),Quart 2 (median),Quart 3 (25% at/above),Most Bullish Response,Standard Deviation,NAAIM Number,S&P 500
28-Jan-15,92.62,0,72.5,95,100,200,39.2,92.62,2002.16
21-Jan-15,89.01,-100,70,99,100,200,52.55,89.01,2032.12
14-Jan-15,87.13,-50,66.25,84,100,200,53.38,87.13,2011.27
7-Jan-15,71.11,-200,62.5,85,100,200,73.52,71.11,2025.9
31-Dec-14,95.86,0,72.5,100,103.2625,200,43.31,95.86,2080.35
24-Dec-14,90.59,0,75,95,100,180,32.71,90.59,2082.17
17-Dec-14,65.12,-125,50,80,99.5,200,61.82,65.12,2012.89
10-Dec-14,89.01,-100,70,99,100,200,52.55,89.01,2026.14
3-Dec-14,86.06,-100,70,90,100,200,53.37,86.06,2074.33
25-Nov-14,86.78,-200,80,100,107.86,200,64.44,86.78,2067.03
19-Nov-14,72.06,-125,52.5,77.5,99.0425,200,54.69,72.06,2048.72
12-Nov-14,85.43,-125,65.5,86.5,100,200,59.75,85.43,2038.25
5-Nov-14,77.68,-125,60,80,100,200,62.91,77.68,2023.57
29-Oct-14,74.78,-125,50,80,96,200,65.53,74.78,1982.3
22-Oct-14,41.38,-200,10,50,81,150,62.31,41.38,1927.11
15-Oct-14,9.97,-200,0,30,50,85,67.69,9.97,1862.49
8-Oct-14,33.14,-150,17.75,50,63.75,200,66.57,33.14,1968.89
1-Oct-14,41.03,-125,14,50,83.75,200,66.81,41.03,1946.16
24-Sep-14,59.76,-125,50,66,91.735,200,55.54,59.76,1998.3
17-Sep-14,67.08,-125,50,75,95,200,49.13,67.08,2001.57
10-Sep-14,63.63,-125,46.25,75,95,200,57.33,63.63,1995.69
3-Sep-14,82.49,-100,55.5,80,100,202.2,59.21,82.49,2000.72
27-Aug-14,78.84,-50,61.25,86.5,100,200,47.66,78.84,2000.12
20-Aug-14,56.77,-125,29.25,68,85.19,200,62.56,56.77,1986.51
13-Aug-14,50.61,-125,27.25,62.5,82.25,100,45.92,50.61,1946.72
6-Aug-14,50.87,-125,35,50,80,200,51.8,50.87,1920.24
30-Jul-14,81.62,-50,70,89,100,150,34.47,81.62,1970.07
23-Jul-14,82.75,-50,70,91.5,100,170,39.31,82.75,1987.01
16-Jul-14,81.91,-50,67.75,97.5,100,150,44.72,81.91,1981.57
9-Jul-14,82.47,0,64.5,100,100,150,35.06,82.47,1972.83
2-Jul-14,85.48,-50,67,95,100,200,47.5,85.48,1974.62
25-Jun-14,88.15,-100,70,100,109.48,200,60.45,88.15,1959.53
18-Jun-14,88.59,-50,68.75,97.5,100,200,44.31,88.59,1956.98
11-Jun-14,87.3,0,70,95,100,200,38.37,87.3,1943.89
4-Jun-14,90.86,0,67.5,90,100,200,42.35,90.86,1927.88
28-May-14,72.52,-125,52.75,87.5,100,200,56.38,72.52,1909.78
21-May-14,67.23,-125,50,75,100,177,46.93,67.23,1888.03
14-May-14,78.18,0,58.75,81.5,100,177,30.36,78.18,1888.53
7-May-14,76.81,-9,50,78,100,177,37.4,76.81,1867.12
30-Apr-14,82.63,-50,59.25,85,100,210,45.8,82.63,1878.33
23-Apr-14,76.58,-50,60,80,100,167,35.38,76.58,1875.39
16-Apr-14,75.92,0,55,75,100,167,35.61,75.92,1862.31
9-Apr-14,85.21,0,66,90,100,150,31.32,85.21,1872.18
2-Apr-14,91.43,-50,65,85,100,200,44.19,91.43,1890.9
26-Mar-14,91.12,30,71.25,95.5,100,175,30.02,91.12,1852.56
19-Mar-14,89.84,0,70,97,100,200,38.47,89.84,1860.77
18-Mar-14,67.77,-200,57.5,80,100,200,62.43,67.77,2099.5
12-Mar-14,85.2,-50,71.5,94.775,100,160,38.59,85.2,1868.2
5-Mar-14,89.06,15,76.25,97.795,100,162,28.18,89.06,1873.81
26-Feb-14,91.62,40,77.5,90,100,200,32.17,91.62,1845.16
19-Feb-14,75.95,-125,60,80,100,200,53.89,75.95,1840.76
12-Feb-14,73.26,-125,60,80,100,150,50.46,73.26,1819.26
5-Feb-14,50.97,-125,31.25,55,80,135,48.9,50.97,1751.64
29-Jan-14,70.94,-125,65,82,100,120,48.68,70.94,1774.2
22-Jan-14,95.13,10,86,100,100,170,33.28,95.13,1844.86
15-Jan-14,96.83,15,95,100,100,170,33.54,96.83,1848.38
8-Jan-14,92.27,0,91,100,100,170,36.87,92.27,1837.49
2-Jan-14,95.03,25,90.5,100,100,165,29.44,95.03,1831.98
26-Dec-13,98.94,50,95,100,100,165,25.49,98.94,1842.02
18-Dec-13,94.35,0,89.75,100,100,165,29.56,94.35,1810.65
11-Dec-13,100.69,0,86.5,100,118.975,165,35.63,100.69,1782.22
4-Dec-13,94.75,0,87.25,100,100,163,30.23,94.75,1792.81
27-Nov-13,101.45,50,95,100,106.555,163,26.85,101.45,1807.23
20-Nov-13,87.43,-100,73.25,100,100,150,47.32,87.43,1781.37
13-Nov-13,80.67,-100,72.5,98,100,150,53.72,80.67,1782
6-Nov-13,84.81,0,62,100,100,150,29.76,84.81,1762.97
30-Oct-13,94.59,-5,87.5,100,100,150,29.66,94.59,1763.31
23-Oct-13,79.37,-100,64,95,100,150,46.05,79.37,1746.38
16-Oct-13,82.05,5,56.25,100,100,130,30.4,82.05,1721.54
9-Oct-13,54.26,-125,45,50,97.5,150,64.65,54.26,1655.45
2-Oct-13,73.13,-150,52.5,92.5,100,150,55.27,73.13,1693.87
25-Sep-13,80.47,-100,55,100,100,150,48.28,80.47,1692.77
18-Sep-13,62.48,0,42.5,70,95,100,32.05,62.48,1725.52
11-Sep-13,66.75,0,43.75,67.5,96.25,125,31.1,66.75,1689.13
4-Sep-13,42.26,-100,30,50,69.5,100,44.32,42.26,1653.08
28-Aug-13,46.92,-100,40,50,77.25,125,45.74,46.92,1634.96
21-Aug-13,34.76,-100,31,50,60,125,56.53,34.76,1642.8
14-Aug-13,69.85,-70,50,70.5,88.75,200,42.7,69.85,1685.39
7-Aug-13,75.7,20,50,75,97.5,150,30.24,75.7,1697.37
31-Jul-13,74.05,-125,64.5,95,100,150,54.48,74.05,1685.73
24-Jul-13,87.5,15,75,95,100,200,33.44,87.5,1692.39
17-Jul-13,61.73,-125,50,78.5,100,107.5,53.11,61.73,1680.91
10-Jul-13,47.08,-125,23.75,47.5,90,200,55.88,47.08,1652.62
3-Jul-13,39.91,-50,20,40,59,100,35.22,39.91,1615.41
26-Jun-13,34.21,-125,19.75,37.5,52.25,150,49.3,34.21,1603.26
19-Jun-13,51.53,-125,30,50,90,130,49.42,51.53,1628.93
12-Jun-13,61.9,-125,41,60,98.69,200,54.21,61.9,1612.52
5-Jun-13,51.58,-125,30,50,90,200,58.97,51.58,1608.9
29-May-13,77.19,-125,62.5,95,100,155,58.2,77.19,1648.36
22-May-13,82.02,-125,71,92.5,100,166,47.22,82.02,1655.35
15-May-13,84.23,-2,65,95,100,166,35.52,84.23,1658.78
8-May-13,79.11,-125,71.5,95,100,165,54.93,79.11,1625.96
1-May-13,80.61,0,55,75,100,165,37.94,80.61,1597.57
24-Apr-13,69.9,-125,50,70,100,200,58.8,69.9,1578.79
17-Apr-13,69.63,-125,50,80,100,170,53.35,69.63,1574.57
10-Apr-13,77.25,-125,56.25,84.5,100,170,52.12,77.25,1587.73
3-Apr-13,72.71,-125,56.25,87.5,100,170,61.57,72.71,1553.69
27-Mar-13,80.06,0,55,87,100,170,40.66,80.06,1562.85
20-Mar-13,79.77,0,68,80,100,150,32.61,79.77,1558.71
13-Mar-13,85.64,0,68,95,100,170,42.82,85.64,1554.52
6-Mar-13,90.15,-50,71,97,100,170,40.09,90.15,1541.46
27-Feb-13,82.77,-35,55,89.5,107.375,160,48.4,82.77,1515.99
20-Feb-13,91.07,-10,70.25,99,102.25,160,38.08,91.07,1530.94
13-Feb-13,89.85,-2,80,99,100,162,38.39,89.85,1519.43
6-Feb-13,94.06,-2,75,100,100,190,40.08,94.06,1512.12
30-Jan-13,104.25,60,85.25,97.5,110,180,32.24,104.25,1507.84
23-Jan-13,86.38,-125,66,95,100,190,53.95,86.38,1494.81
16-Jan-13,84.67,-200,67.75,97.5,100,200,60.85,84.67,1472.63
9-Jan-13,83.27,-100,65,90,100,150,43.59,83.27,1461.02
2-Jan-13,75.98,-125,59.25,77.5,100,200,53.25,75.98,1462.42
26-Dec-12,88.1,0,67,85,100,200,44.51,88.1,"1,419.83"
19-Dec-12,80.19,-100,62.5,81.5,100,200,49.81,80.19,"1,435.81"
12-Dec-12,82.91,0,51.5,80,100,200,40.87,82.91,"1,427.84"
5-Dec-12,75.71,-125,51,85,100,200,53.95,75.71,"1,409.28"
28-Nov-12,55.19,-125,20,70,100,150,58.26,55.19,"1,409.93"
21-Nov-12,64.2,-25,40,50,100,170,42.98,64.2,"1,391.03"
14-Nov-12,67.22,-125,23.75,77.5,99.65,170,64.79,67.22,"1,355.49"
7-Nov-12,57.95,-125,40,65,90,170,57.54,57.95,"1,428.39"
31-Oct-12,75.11,-125,50,85,100,200,59.22,75.11,"1,412.16"
24-Oct-12,64.39,-125,50,70,95,170,59.78,64.39,"1,408.75"
17-Oct-12,65.38,-160,48.75,85.5,100,170,71.78,65.38,"1,460.91"
10-Oct-12,64.59,-125,30,80,100,175,66.48,64.59,"1,432.56"
3-Oct-12,76.03,-125,50.75,95,100,200,57.27,76.03,"1,445.75"
26-Sep-12,69.75,-125,48,80,100,175,56.02,69.75,"1,441.59"
19-Sep-12,81.19,-125,70,95,102.5,175,52.94,81.19,"1,461.05"
12-Sep-12,72.99,-125,60,76,100,170,50.12,72.99,"1,433.56"
5-Sep-12,77.43,-125,55,80,100,200,50.15,77.43,"1,403.44"
29-Aug-12,82.89,-10,60,80,100,200,40.67,82.89,"1,410.49"
22-Aug-12,69.21,-125,40,80,100,200,59.57,69.21,"1,413.17"
15-Aug-12,76.26,-75,53.75,85,100,175,42.6,76.26,"1,403.93"
8-Aug-12,70.75,-30,45,80,97,163,39.42,70.75,"1,401.35"
1-Aug-12,67.8,-125,40,70,95,200,53.94,67.8,"1,379.32"
25-Jul-12,74.39,0,33,65,100,200,50.01,74.39,"1,338.31"
18-Jul-12,67.74,-125,47.5,70,92.5,200,52.76,67.74,"1,363.67"
11-Jul-12,61.85,-125,37.1025,60,89.75,200,53.62,61.85,"1,341.47"
5-Jul-12,63.28,-125,46,60,83.5,180,49.21,63.28,"1,367.58"
27-Jun-12,44.84,-125,30,50,64.5,200,48.14,44.84,"1,319.99"
20-Jun-12,52.33,-125,32.5,53,70,200,45.66,52.33,"1,355.69"
13-Jun-12,43.63,-10,22.5,40,62.16,125,29.53,43.63,"1,314.88"
6-Jun-12,49.32,0,25,50,60,140,34.96,49.32,"1,315.13"
30-May-12,28.65,-125,0,36.5,57.1,110,46.73,28.65,"1,313.32"
23-May-12,31.78,-125,13,40,50,135,45.5,31.78,"1,318.86"
16-May-12,58.71,0,36.5,50,87,200,41.36,58.71,"1,324.80"
9-May-12,64.21,-125,40,50,94.75,200,54.14,64.21,"1,354.58"
2-May-12,63.68,-125,43.75,67.5,95,175,50.54,63.68,"1,405.82"
25-Apr-12,48.31,-125,25,50,82.5,150,56.77,48.31,"1,390.69"
18-Apr-12,46.14,-125,33.75,50,77.5,175,56.9,46.14,"1,385.14"
11-Apr-12,51.93,-125,31.25,50,92.25,150,53.21,51.93,"1,368.71"
4-Apr-12,69.82,-50,50,70,100,150,38.55,69.82,"1,398.96"
28-Mar-12,71.97,-29,50,75,100,150,40.6,71.97,"1,405.54"
21-Mar-12,68.64,-125,55,75,99,155,47.06,68.64,"1,405.52"
14-Mar-12,71.79,-125,50,80,100,175,47.8,71.79,"1,394.28"
7-Mar-12,57.37,-200,40,53.5,96,150,56.66,57.37,"1,352.63"
29-Feb-12,73.78,-50,60,77,100,155,36.76,73.78,"1,365.68"
22-Feb-12,76.28,-60,50,87.5,100,150,37.17,76.28,"1,362.21"
15-Feb-12,73,-35,50,75,100,175,36.23,73,"1,343.23"
8-Feb-12,72.66,-40,50,72,100,150,36.82,72.66,"1,349.96"
1-Feb-12,67.52,-75,50,75,100,125,39.38,67.52,"1,324.09"
25-Jan-12,56.33,-125,40,65,100,125,53.51,56.33,"1,326.05"
18-Jan-12,52.5,-100,30.75,60,90.5,125,49.05,52.5,"1,308.04"
11-Jan-12,49.34,-125,35,50,84,100,47.07,49.34,"1,292.48"
4-Jan-12,43.14,-125,28.75,47.5,60.5,140,41.4,43.14,"1,277.30"
28-Dec-11,43.56,-50,30,45,54,100,28.56,43.56,"1,249.64"
21-Dec-11,36.62,-125,23.6575,42.5,50,110,39.52,36.62,"1,243.72"
14-Dec-11,35.69,-125,19.5,38.5,50,175,48.2,35.69,"1,211.82"
7-Dec-11,34.8,-125,11.25,40,58.75,100,43.66,34.8,"1,261.01"
30-Nov-11,30.02,-125,0,34,50,130,42.22,30.02,"1,246.96"
23-Nov-11,34.77,-125,8.3375,34.5,50,150,45.87,34.77,"1,188.04"
16-Nov-11,54,-125,30,60,85,150,52,54,"1,236.91"
9-Nov-11,44.05,-125,8,52,80,130,55.69,44.05,"1,229.10"
2-Nov-11,45.43,-125,18.75,50,85,150,55.32,45.43,"1,237.90"
26-Oct-11,38.12,-125,25,50,66.5,100,45.23,38.12,"1,242.00"
19-Oct-11,21.32,-125,0,23.5,47.75,100,40.92,21.32,"1,209.88"
12-Oct-11,0,-200,-3.75,12.5,34.25,70,58.88,0,"1,207.25"
5-Oct-11,-3.56,-200,0,0,16,130,54.52,-3.56,"1,144.03"
28-Sep-11,4.18,-125,0,0,26.25,90,38.97,4.18,"1,151.06"
21-Sep-11,27.9,-125,0,11,50,190,51,27.9,"1,166.76"
14-Sep-11,26.78,-125,0,10,50,200,50.57,26.78,"1,188.68"
7-Sep-11,25.31,-125,0,15,50,120,46.85,25.31,"1,198.62"
31-Aug-11,22.19,-140,0,15,50,100,44.78,22.19,"1,218.89"
24-Aug-11,20.17,-125,0,15,45,100,40.4,20.17,"1,177.60"
17-Aug-11,28.78,-125,0,20,50,200,47.52,28.78,"1,193.89"
10-Aug-11,21.4,-125,0,14.5,50,100,42.05,21.4,"1,120.76"
3-Aug-11,32.87,-125,0,42,60,150,50.44,32.87,"1,260.34"
27-Jul-11,62.7,-55,40,50,89.5,200,42.65,62.7,"1,304.89"
20-Jul-11,66.31,-125,47.5,66,95.5,200,49.79,66.31,"1,325.84"
13-Jul-11,53.93,-125,40,55,95,150,53.48,53.93,"1,317.72"
6-Jul-11,50.39,-170,32,55,84,150,57.9,50.39,"1,339.22"
29-Jun-11,31.98,-140,0,35,60,150,54,31.98,"1,307.41"
22-Jun-11,29.28,-125,0,28.5,54.75,117,48.13,29.28,"1,287.14"
15-Jun-11,25.95,-125,0,25,50,155,54.88,25.95,"1,265.42"
8-Jun-11,42.79,-125,27.25,50,72.5,167,58.56,42.79,"1,279.56"
1-Jun-11,52.86,-100,40,60,77.5,170,47.06,52.86,"1,314.55"
25-May-11,58.93,-125,45,60,85,200,56.87,58.93,"1,320.47"
18-May-11,68.41,-100,45,80,100,200,57.02,68.41,"1,340.68"
11-May-11,74.66,-125,50,85,100,200,51.78,74.66,"1,342.08"
4-May-11,76.13,-50,55,75,100,175,47.87,76.13,"1,347.32"
27-Apr-11,81.9,0,50,82.5,100,200,43.74,81.9,"1,355.66"
20-Apr-11,82.95,0,62.25,82.5,100,200,41.72,82.95,"1,330.36"
13-Apr-11,80.63,0,60,78,100,200,38.73,80.63,"1,314.41"
6-Apr-11,80.79,0,59,80,100,200,39.17,80.79,"1,335.54"
30-Mar-11,70.92,0,50,72,95,160,33.44,70.92,"1,328.26"
23-Mar-11,50.83,-100,18.75,50,83.75,160,54.67,50.83,"1,297.54"
16-Mar-11,41,-200,21.25,50,80,160,64.32,41,"1,256.88"
9-Mar-11,75.34,-10,58.5,77.5,95,165,34.89,75.34,"1,320.02"
2-Mar-11,70.92,-100,50,75,100,160,43.94,70.92,"1,308.44"
23-Feb-11,68.13,-100,48.75,79,100,160,53.94,68.13,"1,307.40"
16-Feb-11,83.73,-50,70,97,100,160,39.53,83.73,"1,336.32"
9-Feb-11,86.28,0,70,96.5,100,165,36.24,86.28,"1,302.88"
2-Feb-11,82.13,0,62.5,91.5,100,160,37.3,82.13,"1,304.03"
26-Jan-11,76.18,-50,56.25,95,100,150,44.56,76.18,"1,296.63"
19-Jan-11,70.83,-100,50,85,100,150,48.2,70.83,"1,281.92"
12-Jan-11,76.88,0,50,85.5,100,150,34.52,76.88,"1,285.96"
5-Jan-11,78.51,-50,55,90,100,140,36,78.51,"1,276.56"
29-Dec-10,80.21,20,55,85,100,150,25.87,80.21,"1,259.78"
22-Dec-10,81.83,-40,70,92.5,100,130,30.94,81.83,"1,258.84"
15-Dec-10,74.74,-125,72.5,90,100,150,48.88,74.74,"1,235.23"
8-Dec-10,63.11,-125,50,82.5,100,145,56.85,63.11,"1,228.28"
1-Dec-10,62.47,-200,50,81.5,100,200,71.4,62.47,"1,206.07"
24-Nov-10,66.67,-200,50,85,100,200,68.73,66.67,"1,198.35"
17-Nov-10,66.59,-125,50,80,100,200,64.71,66.59,"1,178.59"
11-Nov-10,71.46,-200,65,97,100,200,73.63,71.46,"1,218.71"
3-Nov-10,69.47,-125,42.5,77.5,100,200,57.6,69.47,"1,197.96"
27-Oct-10,57.66,-200,50,75,96.25,175,74.05,57.66,"1,182.45"
20-Oct-10,72.17,-125,50,80,100,175,54.04,72.17,"1,178.17"
13-Oct-10,67.14,-125,50,80,100,170,55.01,67.14,"1,178.10"
6-Oct-10,76.42,-125,50,77.5,100,200,59.69,76.42,"1,159.97"
29-Sep-10,68.26,-125,42.5,66,95,200,65.97,68.26,"1,144.73"
22-Sep-10,55.29,-150,36.25,55,87.25,200,74.43,55.29,"1,134.28"
15-Sep-10,42.3,-200,22,50,85,155,73.39,42.3,"1,125.07"
8-Sep-10,48.26,-200,24,50,78.75,180,72.42,48.26,"1,098.87"
1-Sep-10,52.78,-125,20,50,80,200,62.56,52.78,"1,080.29"
25-Aug-10,43.94,-60,20,50,66.25,200,55.91,43.94,"1,055.33"
18-Aug-10,56.08,-125,42.75,50,78.75,155,53.95,56.08,"1,094.16"
11-Aug-10,54.68,-125,30,60,90,200,70.17,54.68,"1,089.47"
4-Aug-10,59.11,-125,28.75,60,100,200,58.52,59.11,"1,127.24"
28-Jul-10,50.21,-125,22,40,96,200,63.65,50.21,"1,106.13"
21-Jul-10,45.33,-125,17,40,65,200,55.5,45.33,"1,069.59"
14-Jul-10,49.85,-125,21.5,50,80,200,52.38,49.85,"1,095.17"
7-Jul-10,13.47,-200,0,25,50,100,60.79,13.47,"1,060.27"
30-Jun-10,36.05,-125,10,40,50,200,51.88,36.05,"1,030.71"
23-Jun-10,54.24,-125,25,50,85,200,59.38,54.24,"1,092.04"
16-Jun-10,30.42,-200,13.25,37.5,65.25,130,60.17,30.42,"1,114.61"
9-Jun-10,34.76,-125,8.5,30,61.25,200,50.57,34.76,"1,055.69"
2-Jun-10,27.05,-200,13.75,27.5,50,110,55.84,27.05,"1,098.38"
26-May-10,40.67,-50,15,27.5,53.75,200,45.44,40.67,"1,067.95"
19-May-10,40.38,-125,6,35,72.5,200,65.24,40.38,"1,115.05"
12-May-10,42.39,-200,20.75,52.5,85,160,67.42,42.39,"1,171.67"
5-May-10,67.89,-125,40,71,100,200,73.78,67.89,"1,165.87"
28-Apr-10,83.91,0,51,80,100,200,46.03,83.91,"1,191.36"
21-Apr-10,81.64,0,50,80,100,200,42.33,81.64,"1,205.94"
14-Apr-10,77.22,-100,52.25,90,100,150,45.15,77.22,"1,210.65"
7-Apr-10,85.91,-50,51,95,107.5,200,50.04,85.91,"1,182.45"
31-Mar-10,83.26,0,50.5,95,100,200,46.37,83.26,"1,169.43"
24-Mar-10,76.45,-125,50,80,100,200,57.76,76.45,"1,167.72"
17-Mar-10,77.3,-100,50,95,100,200,55.5,77.3,"1,166.21"
10-Mar-10,51.19,-200,35,70,100,150,68.95,51.19,"1,145.61"
3-Mar-10,54.89,-125,30,50,82.5,200,61.02,54.89,"1,118.79"
24-Feb-10,44.55,-125,18,50,80,200,61,44.55,"1,105.24"
17-Feb-10,36.51,-200,22.5,50,70,140,59.03,36.51,"1,099.51"
10-Feb-10,21.76,-200,0,30,58.75,160,68.82,21.76,"1,068.13"
3-Feb-10,33.18,-200,7.5,47,79,160,68.48,33.18,1097.28
27-Jan-10,61.91,-125,30,70,90,200,66.11,61.91,1097.5
20-Jan-10,63.83,-200,47.5,76.5,100,200,79.25,63.83,1138.04
13-Jan-10,72.97,-125,45,85,100,200,57.83,72.97,1145.68
6-Jan-10,70.65,-125,50,80,100,200,54.77,70.65,1137.14
30-Dec-09,74.56,-50,38.5,75,100,200,53.7,74.56,1126.42
23-Dec-09,61.08,-200,35,72.5,100,160,65.36,61.08,1120.59
16-Dec-09,75.57,-50,40,82,100,200,53.68,75.57,1109.18
9-Dec-09,68.74,-50,36,65,100,200,56.95,68.74,1095.95
2-Dec-09,82.19,10,50,77.5,100,200,49.33,82.19,1109.24
25-Nov-09,67.07,-100,35,68,100,200,56.69,67.07,1110.63
18-Nov-09,65.56,0,22.25,77.5,96.25,150,44.76,65.56,1109.8
11-Nov-09,69.21,-100,50,65,100,200,53.91,69.21,1098.51
4-Nov-09,64.94,-50,23.75,71.5,100,200,61.13,64.94,1046.5
28-Oct-09,74.68,-50,40,80,100,200,64.6,74.68,1042.63
21-Oct-09,77.83,-80,50,85,100,200,52.23,77.83,1081.4
14-Oct-09,74.38,-200,50,80,100,200,61.73,74.38,1092.02
7-Oct-09,67.86,-200,50,75,100,200,71.4,67.86,1057.58
30-Sep-09,86.41,20,50,77.5,98.75,200,49.48,86.41,1057.08
23-Sep-09,80.64,-50,50,77.5,100,200,53.32,80.64,1060.87
16-Sep-09,68,-200,50,75,97.5,200,63.59,68,1068.76
9-Sep-09,63.06,-200,40,70,100,200,63.36,63.06,1033.37
2-Sep-09,54.71,-200,25,50,95,200,81.41,54.71,994.75
26-Aug-09,55.21,-200,35,50,80,200,71.14,55.21,1028.12
19-Aug-09,31.22,-200,0,40,70,200,76.39,31.22,996.46
12-Aug-09,51.56,-50,19.25,50,72.5,200,54.17,51.56,1005.81
5-Aug-09,69,0,40,67.5,98.5,200,44.58,69,1002.72
29-Jul-09,37.41,-200,20,47.5,68.75,150,61.37,37.41,975.15
22-Jul-09,37.38,-200,0,45,73,140,57.65,37.38,954.07
15-Jul-09,22.61,-150,0,16,55,120,52.81,22.61,932.68
8-Jul-09,21.65,-200,0,20,60,200,64.16,21.65,879.56
1-Jul-09,35.67,-75,0,30,65,200,54.89,35.67,923.33
24-Jun-09,27.97,-200,0,38.5,65,200,66.26,27.97,900.94
17-Jun-09,49.92,-50,10.5,50,65,200,52.63,49.92,910.71
10-Jun-09,64.81,0,33.75,65,88.75,200,44.47,64.81,939.15
3-Jun-09,51.46,-200,30,53,85,200,65.16,51.46,931.76
27-May-09,40.34,-200,18,50,75,150,56.58,40.34,906.83
20-May-09,50.41,-50,15,50,80,200,45.67,50.41,903.47
13-May-09,56.82,-25,20,50,75,200,50.71,56.82,883.92
6-May-09,33.19,-200,5,40,57.5,200,67.14,33.19,919.53
29-Apr-09,35.76,-200,0,47,75,200,67.77,35.76,873.64
22-Apr-09,22.67,-200,0,29,50,120,65.51,22.67,843.55
15-Apr-09,41.61,-100,10.75,45,55.5,200,48.42,41.61,852.06
8-Apr-09,35.3,-200,5,38,50,200,59.14,35.3,825.16
1-Apr-09,18.85,-200,0,25,50,125,67.93,18.85,811.08
25-Mar-09,47.75,-50,15.75,50,60,200,49.16,47.75,813.88
18-Mar-09,9.97,-200,0,15,36.25,100,50.63,9.97,794.35
11-Mar-09,4.23,-200,0,5,17.5,100,51,4.23,721.36
4-Mar-09,2.15,-200,0,0,22.5,100,48.8,2.15,712.87
25-Feb-09,13.35,-200,0,15,37.25,100,46.38,13.35,764.9
18-Feb-09,25.97,-40,0,15,45,200,49.84,25.97,788.42
11-Feb-09,24.14,-50,0,10,45.5,200,42.69,24.14,833.74
4-Feb-09,17.8,-100,0,20,39,100,33.09,17.8,832.23
28-Jan-09,20.22,-200,0,25,50,100,49.01,20.22,874.09
21-Jan-09,19.67,-200,0,32,50,100,51.04,19.67,840.24
14-Jan-09,26.51,-200,0,33,50,200,64.58,26.51,842.62
7-Jan-09,29.09,-200,5,40,50,100,51.01,29.09,906.65
31-Dec-08,22.06,-200,0,16,51.25,155,55.14,22.06,903.25
24-Dec-08,24.41,-200,0,10,50,170,55.29,24.41,868.15
17-Dec-08,14.43,-200,0,10,50,140,53.49,14.43,904.42
10-Dec-08,3.68,-200,0,0,22.5,100,49.21,3.68,899.24
3-Dec-08,9.65,-80,0,0,25,200,45.36,9.65,870.74
26-Nov-08,9.67,-200,0,0,25,200,57.85,9.67,887.68
19-Nov-08,11.71,-100,0,0,20,200,43.98,11.71,806.58
12-Nov-08,15.06,-80,0,5,30,200,44.41,15.06,852.3
5-Nov-08,9.62,-200,0,2.5,38.75,100,49.89,9.62,952.77
29-Oct-08,10,-200,0,2.5,40,125,53.88,10,930.09
22-Oct-08,8.37,-200,0,2.5,32.25,100,44.13,8.37,896.78
15-Oct-08,18,-80,0,5,33.5,200,40.55,18,907.84
8-Oct-08,-2.97,-200,0,0,16.25,50,51.28,-2.97,984.94
1-Oct-08,16.27,-100,0,0,33,100,33.41,16.27,1161.06
24-Sep-08,19.11,-125,0,10.5,26.25,200,46.36,19.11,1185.87
17-Sep-08,16.09,-125,0,10,30,200,47.42,16.09,1156.39
10-Sep-08,28.32,-50,0,19.25,50,200,44.25,28.32,1232.04
3-Sep-08,29.92,-200,0,30,50,200,65.07,29.92,1274.98
27-Aug-08,30.03,-50,0,20,50,200,50.18,30.03,1281.66
21-Aug-08,39.76,-50,3.25,29,56,200,50.1,39.76,1277.72
13-Aug-08,33.27,-50,0,20,50,200,53.12,33.27,1285.83
6-Aug-08,18.3,-200,0,20,50,100,52.66,18.3,1289.19
30-Jul-08,12.56,-200,0,20,50,100,61.75,12.56,1284.26
23-Jul-08,13.81,-200,0,20,50,100,57.91,13.81,1282.19
16-Jul-08,10.22,-200,0,5,50,100,51.28,10.22,1245.36
9-Jul-08,2.03,-200,-40,0,45,200,75.85,2.03,1244.69
2-Jul-08,28.03,-50,0,24.5,52.5,200,52.72,28.03,1261.52
25-Jun-08,32,-50,0,25,63.5,200,55.26,32,1321.97
18-Jun-08,44.22,-160,7.5,40,86.25,200,65.08,44.22,1337.81
11-Jun-08,36.46,-200,0,30,85,200,78.83,36.46,1335.49
4-Jun-08,58.15,-125,30,50,100,200,65.79,58.15,1377.2
28-May-08,69.48,-125,40,70,100,200,66.21,69.48,1390.84
21-May-08,68.72,-125,35,75,100,200,65.7,68.72,1390.71
14-May-08,56.41,-200,25,70,100,200,68.46,56.41,1408.66
7-May-08,66.04,-15,50,80,97.5,125,37.8,66.04,1392.57
1-May-08,74.47,0,50,65,90,200,44.96,74.47,1364.71
23-Apr-08,59.27,0,25,50,89.5,200,41.97,59.27,1364.71
16-Apr-08,49.86,-200,25,50,80,200,56.32,49.86,1364.71
9-Apr-08,46.92,-125,30,50,80,200,69.47,46.92,1332.83
2-Apr-08,42.07,-180,10,35,81.25,200,72.95,42.07,1370.4
26-Mar-08,26.69,-200,0,34,50,200,69.09,26.69,1315.22
19-Mar-08,44,0,10,37.5,66.25,200,44.17,44,1329.51
12-Mar-08,45.28,-30,0,20,50,200,63.15,45.28,1288.14
5-Mar-08,38.34,-100,0,35,52.5,200,56.33,38.34,1293.37
27-Feb-08,13.96,-200,7.5,20,67.5,115,82.93,13.96,1330.63
20-Feb-08,33.67,-80,0,22.5,65,200,57.33,33.67,1353.11
